Timestamp,Your Name,Project ID (see spreadsheet),Project's Team Name,Technical Complexity,Usefulness,Originality,Design,Presentation,Any comments?
03/31/2025 22:33:41,Judge 7,17A,Project 17,2.53,2.21,3.0,3.0,2.93,13.67
03/31/2025 22:36:59,Judge 13,18A,Project 18,1.24,2.63,0.99,3.0,1.4,9.25
03/31/2025 22:58:10,Judge 11,18A,Project 18,2.58,1.8,2.37,1.4,2.09,10.23
03/31/2025 22:49:25,Judge 9,18A,Project 18,1.84,2.53,2.7,2.52,2.48,12.06
03/31/2025 22:53:56,Judge 8,18A,Project 18,2.54,3.0,0.0,2.36,1.73,9.63
03/31/2025 22:40:38,Judge 10,19A,Project 19,2.95,2.92,3.0,3.0,1.97,13.83
03/31/2025 22:15:22,Judge 11,19A,Project 19,1.51,2.4,0.91,1.18,3.0,9.01
03/31/2025 22:27:38,Judge 4,19A,Project 19,2.4,1.59,2.26,0.0,2.68,8.93
03/31/2025 22:31:40,Judge 13,19A,Project 19,1.73,1.02,1.56,2.38,2.76,9.44
03/31/2025 22:02:09,Judge 20,19A,Project 19,1.08,2.03,1.86,3.0,2.52,10.49
03/31/2025 22:50:51,Judge 20,20A,Project 20,3.0,2.59,2.22,2.44,2.25,12.5
03/31/2025 22:57:29,Judge 13,20A,Project 20,0.86,1.37,1.5,2.42,1.61,7.77
03/31/2025 22:51:12,Judge 4,20A,Project 20,2.06,3.0,0.31,3.0,1.84,10.21
03/31/2025 22:58:27,Judge 3,20A,Project 20,1.57,2.48,3.0,1.79,1.05,9.89
03/31/2025 22:27:05,Judge 9,20A,Project 20,1.77,2.63,3.0,1.18,0.5,9.08
03/31/2025 22:42:03,Judge 15,21A,Project 21,1.74,0.66,2.15,0.94,0.88,6.37
03/31/2025 22:16:29,Judge 3,21A,Project 21,1.22,2.67,1.89,2.16,3.0,10.93
03/31/2025 22:34:25,Judge 14,21A,Project 21,0.89,3.0,1.0,3.0,3.0,10.89
03/31/2025 22:18:56,Judge 12,21A,Project 21,3.0,0.0,1.66,1.63,0.59,6.88
03/31/2025 22:31:41,Judge 8,21A,Project 21,1.22,3.0,2.13,1.74,3.0,11.09
03/31/2025 22:41:56,Judge 7,22A,Project 22,0.31,1.1,2.23,1.28,2.69,7.61
03/31/2025 22:57:32,Judge 11,22A,Project 22,2.47,2.33,2.87,2.53,2.26,12.46
03/31/2025 22:45:56,Judge 14,22A,Project 22,0.76,1.18,3.0,0.25,2.76,7.95
03/31/2025 22:08:40,Judge 16,23A,Project 23,0.59,3.0,2.67,1.38,1.58,9.22
03/31/2025 22:55:06,Judge 5,23A,Project 23,0.96,1.78,2.3,2.62,2.95,10.6
03/31/2025 22:36:15,Judge 7,23A,Project 23,2.54,2.2,1.02,2.41,0.3,8.46
03/31/2025 22:53:44,Judge 20,23A,Project 23,3.0,1.98,1.1,1.09,1.09,8.26
03/31/2025 22:21:59,Judge 8,24A,Project 24,2.84,2.82,1.88,2.75,3.0,13.29
03/31/2025 22:22:13,Judge 11,24A,Project 24,3.0,1.7,2.1,2.18,2.61,11.58
03/31/2025 22:59:22,Judge 20,24A,Project 24,0.48,2.37,0.95,0.0,1.65,5.46
03/31/2025 22:47:44,Judge 18,25A,Project 25,0.68,1.77,3.0,2.12,2.82,10.39
03/31/2025 22:29:10,Judge 20,25A,Project 25,2.62,2.84,3.0,3.0,3.0,14.46
03/31/2025 22:08:08,Judge 16,25A,Project 25,2.43,2.21,2.27,0.72,0.92,8.55
03/31/2025 22:15:20,Judge 13,26A,Project 26,3.0,2.15,3.0,3.0,1.8,12.95
03/31/2025 22:58:41,Judge 16,26A,Project 26,2.71,2.05,3.0,1.32,1.49,10.57
03/31/2025 22:11:36,Judge 9,26A,Project 26,0.0,0.39,2.57,1.19,1.8,5.96
03/31/2025 22:57:10,Judge 6,26A,Project 26,3.0,2.17,1.99,1.87,2.79,11.81
03/31/2025 22:56:30,Judge 17,27A,Project 27,1.55,1.95,2.67,0.88,2.38,9.43
03/31/2025 22:43:31,Judge 7,27A,Project 27,1.85,1.34,1.52,2.6,1.87,9.18
03/31/2025 22:15:36,Judge 6,27A,Project 27,1.5,2.56,1.38,1.5,1.83,8.77
03/31/2025 22:51:58,Judge 2,27A,Project 27,2.1,0.5,2.63,3.0,2.11,10.34
03/31/2025 22:20:18,Judge 12,28A,Project 28,0.29,2.54,3.0,1.15,2.1,9.09
03/31/2025 22:16:23,Judge 10,28A,Project 28,1.76,2.1,2.55,2.04,2.04,10.5
03/31/2025 22:36:02,Judge 7,28A,Project 28,3.0,1.51,3.0,2.68,3.0,13.19
03/31/2025 22:29:32,Judge 11,28A,Project 28,2.16,3.0,1.62,2.55,1.73,11.06
03/31/2025 22:26:14,Judge 16,29A,Project 29,1.73,2.37,1.61,2.03,3.0,10.74
03/31/2025 22:04:54,Judge 1,29A,Project 29,2.65,0.11,1.72,1.12,1.61,7.2
03/31/2025 22:58:46,Judge 8,29A,Project 29,1.33,2.54,2.05,3.0,0.56,9.47
03/31/2025 22:11:26,Judge 9,30A,Project 30,2.37,1.47,1.87,0.0,2.73,8.44
03/31/2025 22:59:13,Judge 8,30A,Project 30,3.0,0.55,0.0,2.44,1.5,7.49
03/31/2025 22:36:44,Judge 17,30A,Project 30,2.83,1.51,1.28,2.73,2.43,10.78
03/31/2025 22:14:28,Judge 20,30A,Project 30,2.24,0.77,3.0,2.9,1.79,10.71
03/31/2025 22:05:48,Judge 13,31A,Project 31,2.2,2.71,1.91,3.0,1.32,11.14
03/31/2025 22:28:21,Judge 10,31A,Project 31,3.0,1.43,1.54,0.67,3.0,9.64
03/31/2025 22:40:33,Judge 6,31A,Project 31,1.37,3.0,1.72,1.97,1.83,9.89
03/31/2025 22:23:09,Judge 4,31A,Project 31,1.31,3.0,2.74,2.94,2.85,12.84
03/31/2025 22:26:16,Judge 16,31A,Project 31,2.0,0.84,3.0,2.88,1.78,10.49
03/31/2025 22:01:45,Judge 15,32A,Project 32,2.03,3.0,2.92,2.06,1.35,11.36
03/31/2025 22:57:21,Judge 12,32A,Project 32,3.0,2.56,1.66,3.0,2.65,12.88
03/31/2025 22:57:41,Judge 3,32A,Project 32,3.0,1.8,3.0,2.4,3.0,13.2
03/31/2025 22:38:55,Judge 2,33A,Project 33,3.0,1.9,1.07,2.75,0.87,9.6
03/31/2025 22:00:34,Judge 20,33A,Project 33,2.56,1.59,0.59,2.48,1.58,8.8
03/31/2025 22:48:29,Judge 1,33A,Project 33,1.91,2.5,2.38,3.0,2.87,12.67
03/31/2025 22:15:55,Judge 19,33A,Project 33,2.77,0.44,3.0,1.89,3.0,11.1
03/31/2025 22:56:09,Judge 16,34A,Project 34,2.32,1.71,0.35,1.95,1.84,8.17
03/31/2025 22:08:23,Judge 11,34A,Project 34,3.0,3.0,2.88,2.27,1.29,12.44
03/31/2025 22:34:00,Judge 18,34A,Project 34,3.0,1.7,2.02,1.91,0.38,9.01
03/31/2025 22:49:26,Judge 9,34A,Project 34,3.0,0.44,1.73,0.0,2.25,7.43
03/31/2025 22:26:19,Judge 3,35A,Project 35,3.0,1.84,3.0,3.0,1.68,12.52
03/31/2025 22:04:41,Judge 2,35A,Project 35,1.55,2.73,1.92,2.08,0.0,8.28
03/31/2025 22:20:29,Judge 15,35A,Project 35,1.12,3.0,3.0,1.79,2.07,10.97
03/31/2025 22:54:15,Judge 14,35A,Project 35,2.4,0.0,3.0,1.13,2.4,8.93
03/31/2025 22:54:49,Judge 17,36A,Project 36,1.9,1.97,2.67,1.48,2.37,10.4
03/31/2025 22:16:26,Judge 4,36A,Project 36,2.51,2.2,2.45,0.92,2.67,10.75
03/31/2025 22:33:19,Judge 3,36A,Project 36,2.51,2.99,0.15,2.94,2.34,10.93
03/31/2025 22:09:34,Judge 11,36A,Project 36,0.89,1.94,2.33,2.32,2.42,9.9
03/31/2025 22:22:47,Judge 8,37A,Project 37,2.98,0.67,3.0,0.54,3.0,10.18
03/31/2025 22:47:55,Judge 16,37A,Project 37,3.0,3.0,3.0,0.0,3.0,12.0
03/31/2025 22:35:49,Judge 7,37A,Project 37,2.17,1.3,3.0,3.0,0.0,9.47
03/31/2025 22:42:25,Judge 1,38A,Project 38,1.32,2.18,3.0,1.73,3.0,11.23
03/31/2025 22:05:35,Judge 14,38A,Project 38,2.76,2.28,2.1,1.94,1.25,10.33
03/31/2025 22:31:56,Judge 19,38A,Project 38,1.72,2.46,3.0,2.52,2.21,11.91
03/31/2025 22:19:39,Judge 17,38A,Project 38,0.09,2.4,3.0,2.77,1.4,9.65
03/31/2025 22:43:26,Judge 3,39A,Project 39,0.41,2.12,2.54,2.05,2.04,9.17
03/31/2025 22:51:37,Judge 2,39A,Project 39,2.5,0.7,3.0,1.7,1.72,9.63
03/31/2025 22:53:45,Judge 5,39A,Project 39,2.75,1.14,0.94,2.69,2.46,9.99
03/31/2025 22:58:46,Judge 6,40A,Project 40,0.46,2.27,3.0,0.31,2.31,8.36
03/31/2025 22:30:26,Judge 17,40A,Project 40,2.0,3.0,2.92,0.13,0.03,8.08
03/31/2025 22:41:46,Judge 19,40A,Project 40,2.3,1.47,0.38,2.56,0.9,7.61
03/31/2025 22:41:12,Judge 11,40A,Project 40,1.29,0.98,3.0,2.49,2.97,10.73
03/31/2025 22:41:15,Judge 8,40A,Project 40,2.23,0.44,2.33,2.83,0.01,7.85
03/31/2025 22:56:14,Judge 18,41A,Project 41,2.37,2.17,0.59,1.89,1.1,8.11
03/31/2025 22:49:19,Judge 14,41A,Project 41,1.98,2.38,1.09,1.72,2.87,10.03
03/31/2025 22:39:28,Judge 9,41A,Project 41,2.76,2.08,3.0,1.25,2.23,11.32
03/31/2025 22:29:26,Judge 15,41A,Project 41,2.3,3.0,0.76,2.02,1.32,9.4
03/31/2025 22:40:08,Judge 5,41A,Project 41,0.83,0.16,2.51,0.9,0.0,4.39
03/31/2025 22:52:18,Judge 18,42A,Project 42,1.33,2.99,1.83,1.24,2.54,9.93
03/31/2025 22:58:57,Judge 9,42A,Project 42,1.1,2.09,2.55,2.12,2.71,10.57
03/31/2025 22:38:20,Judge 13,42A,Project 42,3.0,1.7,1.35,2.53,0.0,8.58
03/31/2025 22:17:28,Judge 7,42A,Project 42,2.06,1.2,2.35,2.95,0.0,8.57
03/31/2025 22:39:52,Judge 1,43A,Project 43,2.15,1.66,1.39,1.7,1.61,8.51
03/31/2025 22:55:31,Judge 16,43A,Project 43,2.17,0.73,2.63,1.27,1.3,8.09
03/31/2025 22:54:52,Judge 10,43A,Project 43,2.5,3.0,0.96,1.79,1.87,10.12
03/31/2025 22:34:04,Judge 11,43A,Project 43,2.99,2.38,0.0,0.68,1.93,7.98
03/31/2025 22:34:04,Judge 5,43A,Project 43,1.42,0.0,1.45,2.39,0.52,5.79
03/31/2025 22:10:23,Judge 12,44A,Project 44,2.18,1.83,3.0,0.63,0.39,8.02
03/31/2025 22:58:13,Judge 16,44A,Project 44,2.49,1.88,2.47,2.17,2.33,11.33
03/31/2025 22:37:59,Judge 9,44A,Project 44,1.83,3.0,1.39,2.74,2.3,11.27
03/31/2025 22:51:28,Judge 6,45A,Project 45,0.65,1.03,3.0,1.34,0.95,6.98
03/31/2025 22:59:22,Judge 2,45A,Project 45,2.54,3.0,0.0,1.2,1.86,8.59
03/31/2025 22:40:15,Judge 4,45A,Project 45,2.61,3.0,0.75,1.5,2.28,10.13
03/31/2025 22:38:40,Judge 17,46A,Project 46,1.07,0.96,0.03,3.0,0.9,5.96
03/31/2025 22:47:17,Judge 1,46A,Project 46,2.32,1.83,1.95,3.0,0.79,9.89
03/31/2025 22:00:38,Judge 19,46A,Project 46,3.0,2.84,1.19,3.0,1.86,11.88
03/31/2025 22:57:11,Judge 3,46A,Project 46,0.71,2.23,1.85,1.64,1.17,7.6
03/31/2025 22:30:30,Judge 16,47A,Project 47,2.91,3.0,2.21,0.81,1.77,10.69
03/31/2025 22:54:17,Judge 14,47A,Project 47,1.79,1.15,1.42,2.59,3.0,9.95
03/31/2025 22:37:58,Judge 12,47A,Project 47,2.39,3.0,2.95,2.69,0.0,11.03
03/31/2025 22:19:15,Judge 8,48A,Project 48,2.59,2.34,0.3,3.0,3.0,11.23
03/31/2025 22:40:52,Judge 1,48A,Project 48,1.25,1.58,0.82,2.98,1.74,8.38
03/31/2025 22:54:52,Judge 19,48A,Project 48,1.44,2.18,3.0,3.0,3.0,12.62
03/31/2025 22:02:41,Judge 11,48A,Project 48,3.0,3.0,3.0,1.01,2.39,12.39
03/31/2025 22:16:10,Judge 9,49A,Project 49,1.09,3.0,2.46,0.92,0.67,8.14
03/31/2025 22:06:38,Judge 19,49A,Project 49,1.98,3.0,1.7,3.0,0.06,9.74
03/31/2025 22:57:51,Judge 5,49A,Project 49,2.3,0.62,2.72,3.0,3.0,11.65
03/31/2025 22:56:06,Judge 16,50A,Project 50,2.73,0.0,1.84,2.9,2.78,10.25
03/31/2025 22:20:05,Judge 15,50A,Project 50,1.54,1.65,2.73,1.83,1.68,9.42
03/31/2025 22:23:51,Judge 7,50A,Project 50,1.98,1.9,1.8,1.12,1.17,7.97
03/31/2025 22:54:51,Judge 6,50A,Project 50,0.93,0.06,1.52,2.71,2.17,7.4
03/31/2025 22:27:22,Judge 8,50A,Project 50,1.83,2.1,0.87,0.24,0.97,6.01
03/31/2025 22:50:31,Judge 1,51A,Project 51,0.73,0.93,1.39,3.0,2.26,8.31
03/31/2025 22:38:56,Judge 6,51A,Project 51,1.41,0.98,2.06,2.43,2.69,9.58
03/31/2025 22:28:24,Judge 4,51A,Project 51,2.24,3.0,0.66,2.55,1.76,10.22
03/31/2025 22:59:48,Judge 3,51A,Project 51,3.0,1.55,3.0,3.0,0.97,11.52
03/31/2025 22:52:37,Judge 17,51A,Project 51,2.94,1.31,1.7,1.19,0.0,7.14
03/31/2025 22:29:43,Judge 7,52A,Project 52,1.96,2.88,1.92,1.82,3.0,11.59
03/31/2025 22:12:53,Judge 18,52A,Project 52,1.2,0.0,1.19,1.79,0.64,4.82
03/31/2025 22:38:35,Judge 13,52A,Project 52,1.74,0.17,2.2,2.36,3.0,9.47
03/31/2025 22:00:39,Judge 11,53A,Project 53,3.0,2.18,1.91,1.68,2.78,11.55
03/31/2025 22:10:12,Judge 1,53A,Project 53,2.57,3.0,0.93,2.02,3.0,11.52
03/31/2025 22:51:27,Judge 19,53A,Project 53,1.99,2.3,2.37,1.38,2.39,10.44
03/31/2025 22:49:50,Judge 17,54A,Project 54,1.23,0.67,3.0,2.74,1.43,9.07
03/31/2025 22:09:47,Judge 14,54A,Project 54,1.0,1.5,2.84,2.55,1.76,9.64
03/31/2025 22:28:35,Judge 7,54A,Project 54,1.63,2.25,2.42,2.45,0.79,9.54
03/31/2025 22:38:46,Judge 20,54A,Project 54,0.48,3.0,1.9,3.0,2.04,10.42
03/31/2025 22:12:03,Judge 8,54A,Project 54,2.14,1.51,2.3,1.08,2.5,9.52
03/31/2025 22:29:47,Judge 2,55A,Project 55,0.79,2.83,2.27,2.65,1.03,9.58
03/31/2025 22:48:55,Judge 20,55A,Project 55,2.15,0.69,1.42,1.05,1.7,7.0
03/31/2025 22:28:02,Judge 10,55A,Project 55,1.46,1.91,2.33,2.19,2.71,10.61
03/31/2025 22:04:24,Judge 17,56A,Project 56,1.56,1.98,1.7,2.8,0.38,8.43
03/31/2025 22:29:22,Judge 2,56A,Project 56,2.75,1.11,1.34,2.15,0.8,8.15
03/31/2025 22:27:35,Judge 6,56A,Project 56,0.73,2.73,1.35,2.08,1.53,8.43
03/31/2025 22:08:13,Judge 1,56A,Project 56,2.07,3.0,1.07,2.24,2.98,11.36
03/31/2025 22:12:07,Judge 5,56A,Project 56,2.5,1.48,2.24,1.92,2.88,11.02
03/31/2025 22:19:45,Judge 1,57A,Project 57,2.35,1.98,1.38,0.45,2.11,8.27
03/31/2025 22:04:42,Judge 18,57A,Project 57,1.53,1.57,1.31,0.59,1.92,6.92
03/31/2025 22:21:54,Judge 10,57A,Project 57,0.71,0.0,2.96,3.0,2.3,8.97
03/31/2025 22:48:32,Judge 2,57A,Project 57,2.29,3.0,1.42,2.48,3.0,12.19
03/31/2025 22:23:06,Judge 14,57A,Project 57,1.42,2.85,2.13,3.0,2.2,11.6
03/31/2025 22:32:32,Judge 10,58A,Project 58,2.99,1.52,2.15,3.0,2.9,12.55
03/31/2025 22:22:27,Judge 2,58A,Project 58,1.17,0.0,1.11,1.69,3.0,6.97
03/31/2025 22:05:31,Judge 12,58A,Project 58,1.51,1.78,1.35,2.17,2.44,9.24
03/31/2025 22:01:44,Judge 4,58A,Project 58,2.81,2.31,2.06,3.0,1.7,11.87
03/31/2025 22:41:41,Judge 6,58A,Project 58,1.68,2.06,1.26,0.3,1.35,6.65
03/31/2025 22:35:20,Judge 12,59A,Project 59,3.0,1.33,3.0,1.75,2.29,11.37
03/31/2025 22:48:14,Judge 11,59A,Project 59,2.26,1.64,2.23,1.73,1.93,9.79
03/31/2025 22:23:23,Judge 1,59A,Project 59,1.01,3.0,1.75,0.79,1.04,7.58
03/31/2025 22:57:39,Judge 9,60A,Project 60,1.57,0.89,2.1,1.89,1.84,8.28
03/31/2025 22:06:02,Judge 19,60A,Project 60,0.9,1.64,0.2,1.65,1.91,6.29
03/31/2025 22:52:38,Judge 13,60A,Project 60,2.23,2.13,1.99,1.14,2.09,9.57
03/31/2025 22:53:00,Judge 11,61A,Project 61,0.74,1.13,2.06,2.49,2.96,9.39
03/31/2025 22:21:43,Judge 8,61A,Project 61,0.18,1.48,2.56,2.71,2.86,9.78
03/31/2025 22:35:51,Judge 20,61A,Project 61,3.0,1.37,3.0,1.71,2.08,11.16
03/31/2025 22:44:20,Judge 10,61A,Project 61,1.92,0.48,2.24,2.27,3.0,9.9
03/31/2025 22:53:31,Judge 12,61A,Project 61,1.32,2.08,1.64,3.0,2.02,10.05
03/31/2025 22:34:06,Judge 20,62A,Project 62,2.65,3.0,2.38,2.16,1.99,12.19
03/31/2025 22:31:03,Judge 15,62A,Project 62,1.81,3.0,2.59,0.0,2.66,10.05
03/31/2025 22:46:07,Judge 19,62A,Project 62,2.19,3.0,2.46,3.0,2.49,13.14
03/31/2025 22:11:35,Judge 12,62A,Project 62,3.0,2.14,3.0,0.56,2.18,10.88
03/31/2025 22:35:30,Judge 18,63A,Project 63,2.15,0.11,2.21,2.0,1.18,7.65
03/31/2025 22:57:31,Judge 1,63A,Project 63,1.82,2.08,1.84,1.29,1.0,8.03
03/31/2025 22:39:02,Judge 17,63A,Project 63,1.24,0.41,1.24,1.53,1.3,5.72
03/31/2025 22:46:20,Judge 7,63A,Project 63,3.0,2.28,0.52,2.26,3.0,11.06
03/31/2025 22:34:38,Judge 10,63A,Project 63,1.52,2.01,3.0,3.0,0.71,10.24
03/31/2025 22:18:18,Judge 3,64A,Project 64,1.34,0.46,2.71,2.93,2.88,10.33
03/31/2025 22:18:31,Judge 1,64A,Project 64,2.21,2.83,1.13,1.34,1.7,9.21
03/31/2025 22:43:44,Judge 10,64A,Project 64,2.18,0.95,2.21,3.0,0.12,8.46
03/31/2025 22:33:15,Judge 15,64A,Project 64,0.81,1.25,2.34,2.08,1.45,7.93
03/31/2025 22:21:56,Judge 7,65A,Project 65,1.86,1.55,2.0,2.6,0.56,8.57
03/31/2025 22:28:01,Judge 2,65A,Project 65,0.0,3.0,2.63,2.22,0.67,8.52
03/31/2025 22:18:43,Judge 14,65A,Project 65,1.6,2.48,1.63,3.0,1.73,10.44
03/31/2025 22:44:28,Judge 3,65A,Project 65,2.37,2.67,1.84,2.37,1.41,10.66
03/31/2025 22:39:33,Judge 20,65A,Project 65,0.81,3.0,1.1,2.64,1.67,9.22
03/31/2025 22:35:58,Judge 19,66A,Project 66,2.6,2.66,1.72,2.91,1.05,10.95
03/31/2025 22:40:56,Judge 14,66A,Project 66,2.02,2.55,0.82,3.0,2.72,11.1
03/31/2025 22:35:51,Judge 7,66A,Project 66,2.72,1.24,2.14,0.48,0.65,7.21
03/31/2025 22:24:04,Judge 3,66A,Project 66,2.98,1.26,0.0,2.26,2.99,9.48
03/31/2025 22:54:59,Judge 9,66A,Project 66,0.65,2.17,2.24,1.78,3.0,9.84
03/31/2025 22:43:07,Judge 6,67A,Project 67,1.33,2.63,2.77,3.0,0.86,10.59
03/31/2025 22:07:40,Judge 11,67A,Project 67,1.06,2.5,3.0,3.0,0.98,10.54
03/31/2025 22:08:10,Judge 18,67A,Project 67,3.0,1.1,1.29,2.06,3.0,10.46
03/31/2025 22:34:12,Judge 19,67A,Project 67,3.0,0.43,1.98,1.9,1.46,8.77
03/31/2025 22:39:38,Judge 12,68A,Project 68,2.45,2.37,2.05,2.33,1.58,10.77
03/31/2025 22:51:30,Judge 9,68A,Project 68,0.38,1.49,1.43,2.54,2.76,8.6
03/31/2025 22:36:12,Judge 1,68A,Project 68,2.43,2.02,1.36,2.49,3.0,11.29
03/31/2025 22:08:14,Judge 7,68A,Project 68,1.81,1.76,0.45,2.56,2.42,9.0
03/31/2025 22:58:42,Judge 9,69A,Project 69,3.0,0.54,3.0,1.69,1.92,10.14
03/31/2025 22:46:05,Judge 18,69A,Project 69,1.33,3.0,0.08,3.0,1.73,9.14
03/31/2025 22:29:52,Judge 1,69A,Project 69,2.01,1.05,1.59,2.69,2.11,9.45
03/31/2025 22:53:00,Judge 1,70A,Project 70,2.58,0.75,2.36,2.89,1.58,10.16
